GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
App,app.repository,FuncionarioRepository,3,0,0,0,1,0,1,0,1,0
App,app.repository,PagamentoRepository,3,0,0,0,1,0,1,0,1,0
App,app.repository,FormaPagamentoRepository,3,0,0,0,1,0,1,0,1,0
App,app,App,5,3,0,0,2,1,1,1,1,1
App,app.service,HorarioService,3,0,0,0,1,0,1,0,1,0
App,app.service,PagamentoService,3,0,0,0,1,0,1,0,1,0
App,app.service,FuncionarioService,3,0,0,0,1,0,1,0,1,0
App,app.service,ClienteService,0,52,0,0,0,12,0,8,0,8
App,app.service,FormaPagamentoService,3,0,0,0,1,0,1,0,1,0
App,app.controller,ClienteController,53,81,0,0,14,15,0,8,0,8
App,app.controller,HorarioController,3,0,0,0,1,0,1,0,1,0
App,app.controller,PagamentoController,3,0,0,0,1,0,1,0,1,0
App,app.controller,FormaPagamentoController,3,0,0,0,1,0,1,0,1,0
App,app.controller,FuncionarioController,3,0,0,0,1,0,1,0,1,0
App,app.entity,Horario,28,3,0,0,12,1,8,1,8,1
App,app.entity,FormaPagamento,3,0,0,0,1,0,1,0,1,0
App,app.entity,Pagamento,3,0,0,0,1,0,1,0,1,0
App,app.entity,Funcionario,3,0,0,0,1,0,1,0,1,0
App,app.entity,Cliente,16,29,0,0,6,13,5,8,5,8
